symble,corr vs pop,corr vs senti,predict
XOM,0.163257266003,0.31139839269,56.25
PXD,-0.381464423063,-0.391641525968,50.0
CVX,0.203113000458,-0.464471622972,60.0
HAL,0.216106502295,-0.0854397655807,43.75
COP,-0.0450694687851,0.713549082688,50.0
FCX,0.39500327417,0.134742671514,50.0
X,0.0975924742767,-0.0254192283208,64.2857142857
IP,-0.166800576394,-0.50804682092,50.0
LYB,0.231535552433,0.0822309738147,33.3333333333
VMC,-0.0699982101038,-0.361046234575,50.0
GE,0.0426024683731,-0.167636700439,62.5
BA,-0.312073027703,-0.0449315328964,56.25
UNP,0.105501029054,-0.161294877885,50.0
MMM,-0.0118239455021,0.366115912654,62.5
CAT,-0.374803190925,-0.103947753586,53.3333333333
DIS,0.38672758159,-0.251228564275,50.0
TSLA,-0.0590935397988,0.0370182651446,56.25
NFLX,0.521393055079,-0.403251276944,37.5
ORLY,0.0819972972004,-0.295312601514,25.0
SBUX,0.43424881755,0.283317023097,43.75
SPY,0.49121942641,-0.0434731636466,43.75
BAC,0.255939542517,0.10241947027,37.5
QQQ,0.283422307584,0.234142834571,37.5
JPM,0.060197850565,-0.13326683291,25.0
C,0.0990463137117,0.325140831544,46.6666666667
GILD,0.272052258992,-0.0836820293192,56.25
BMY,-0.243171842741,-0.0945222373594,37.5
PFE,0.265616332734,-0.231140153712,25.0
JNJ,-0.166542183127,0.0380851328237,25.0
AMGN,-0.387592946666,-0.726579833812,25.0
AAPL,0.318292717149,0.0733541959516,37.5
AMZN,0.365672832354,0.179355088117,50.0
NVDA,0.0461860840336,0.247088162301,43.75
CTSH,-0.0970032666092,-0.0775947695423,50.0
MSFT,0.343767408321,0.0590713504865,56.25
VZ,-0.0962765350003,0.115697231243,37.5
T,0.187388409191,0.441613787442,40.0
CMCSA,0.226910460426,0.30177972821,50.0
CTL,-0.128818651998,0.372984011278,68.75
EXC,-0.161676820792,-0.487030818431,43.75
NEE,0.188049019655,-0.259092567119,43.75
EIX,-0.00885188130787,-0.361007956339,62.5
DUK,0.0773333942056,-0.0174768275345,50.0
D,0.0672357995192,-0.634922832446,40.0
